"name","postal",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"type"
"Alabama","AL",317.5,341.9,279.8,331.6,333.7,398.8,368.1,467.7,565.6,540.1,578.9,664.7,698.5,740.2,"animals"
"Alaska","AK",14.4,12.6,10.9,1.6,1.5,1.6,1.8,1.9,2.0,1.9,2.3,2.7,2.5,2.5,"animals"
"Arizona","AZ",101.5,112.3,106.5,117.3,78.0,91.5,109.9,148.6,199.3,146.4,219.1,289.5,303.5,344.4,"animals"
"Arkansas","AR",387.0,433.1,350.8,364.7,387.5,471.8,431.0,556.5,685.8,629.6,662.4,741.7,780.8,800.8,"animals"
"California","CA",552.6,614.6,539.3,606.2,569.9,643.7,707.5,"1,095.1","1,368.9","1,001.4","1,405.8","1,810.7","1,929.5","2,179.6","animals"
"Colorado","CO",390.5,404.4,419.4,430.2,235.5,265.8,350.9,421.2,530.7,427.9,550.7,644.8,683.6,737.5,"animals"
"Connecticut","CT",27.3,28.2,24.6,22.1,20.9,20.6,25.0,35.3,28.7,23.9,29.8,38.0,40.2,42.2,"animals"
"Delaware","DE",57.8,71.5,54.8,58.0,65.4,85.6,72.5,98.1,110.1,116.8,117.3,122.6,135.6,145.6,"animals"
"Florida","FL",206.2,211.0,191.6,178.0,163.3,165.5,189.6,176.5,217.4,173.5,217.0,258.5,433.8,449.3,"animals"
"Georgia","GA",333.3,390.2,302.0,334.4,362.5,436.3,408.4,552.4,694.5,656.6,655.2,780.2,877.0,918.0,"animals"
"Hawaii","HI",18.4,18.4,19.1,13.9,12.4,12.3,11.3,16.2,32.9,29.7,32.9,46.4,55.9,52.0,"animals"
"Idaho","ID",163.8,194.0,194.9,203.7,152.9,177.6,214.7,317.3,417.4,294.5,445.2,583.6,628.0,766.0,"animals"
"Illinois","IL",207.4,244.3,226.3,250.6,244.8,268.7,283.0,333.0,453.7,399.6,491.6,599.6,619.3,652.9,"animals"
"Indiana","IN",197.6,221.9,197.5,222.8,236.5,267.9,297.6,392.2,559.4,472.8,563.1,697.9,741.2,723.7,"animals"
"Iowa","IA",737.5,810.9,761.2,840.0,899.5,"1,112.5","1,263.7","1,497.4","2,183.7","1,859.9","2,203.1","2,838.7","3,004.2","3,136.8","animals"
