name,postal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"type"
Alabama,AL,548.7,611.4,495.9,699.3,706.7,748.2,679.5,817.0,"1,105.4","1,008.8","1,104.2","1,427.0","1,430.6","1,562.0","total"
Alaska,AK,22.2,21.2,18.6,10.2,10.3,11.6,11.4,12.5,14.8,13.6,14.7,15.7,16.5,18.1,"total"
Arizona,AZ,481.0,463.8,506.8,554.4,642.9,672.4,726.6,874.9,"1,114.9",861.6,"1,094.1","1,540.7","1,320.4","1,484.8","total"
Arkansas,AR,"1,327.5","1,376.9","1,360.0","1,883.5","1,929.8","1,947.5","2,068.6","2,654.7","3,399.7","2,926.0","3,121.2","3,595.7","4,100.1","4,040.8","total"
California,CA,"6,982.7","7,225.9","7,269.5","7,859.0","8,665.3","9,582.5","10,117.3","11,430.8","12,353.8","11,715.9","13,656.9","16,291.2","17,461.7","19,479.6","total"
Colorado,CO,911.3,943.8,944.5,896.3,771.0,850.0,"1,000.2","1,338.1","1,589.8","1,291.7","1,587.8","1,937.0","1,816.8","1,795.0","total"
Connecticut,CT,163.6,159.4,154.9,151.5,162.4,172.4,178.0,211.9,274.8,257.9,284.2,305.2,325.3,364.1,"total"
Delaware,DE,135.8,151.5,122.1,127.8,139.1,146.0,142.6,187.2,241.0,235.0,241.4,283.1,320.1,303.4,"total"
Florida,FL,"2,124.4","2,112.0","2,017.9","2,108.0","2,086.4","2,343.6","2,574.7","2,923.7","3,380.0","3,149.5","3,442.7","4,028.2","4,061.3","4,351.7","total"
Georgia,GA,967.1,974.1,824.0,"1,059.0","1,218.3","1,235.4","1,273.1","1,600.4","2,011.5","1,768.7","2,203.6","2,857.4","2,664.5","2,966.8","total"
Hawaii,HI,164.7,170.9,168.2,175.9,183.1,202.6,217.0,241.7,345.0,364.2,417.1,462.0,475.8,519.1,"total"
Idaho,ID,786.6,798.1,821.4,778.7,834.8,879.2,998.0,"1,315.5","1,641.0","1,302.0","1,620.0","2,244.0","2,179.8","2,590.0","total"
Illinois,IL,"3,102.3","3,341.0","3,403.8","3,695.4","3,794.6","3,611.3","4,202.3","5,589.1","7,788.6","6,536.9","7,723.0","8,466.9","8,515.3","7,925.1","total"
Indiana,IN,"1,718.6","1,986.2","1,799.8","1,938.8","2,136.7","1,964.9","2,379.6","3,160.1","4,435.5","3,823.8","4,267.9","4,928.2","4,990.2","4,780.4","total"
Iowa,IA,"3,410.3","3,557.1","4,018.0","4,142.5","4,225.7","4,408.9","5,243.1","6,879.1","9,667.6","8,296.2","9,374.1","10,959.2","11,373.3","10,191.3","total"
Kansas,KS,"1,932.9","2,019.6","2,025.0","2,290.6","1,946.0","2,189.7","2,339.5","3,378.0","4,284.0","3,628.2","4,533.8","4,619.6","4,428.8","4,970.1","total"
Kentucky,KY,980.1,928.6,843.7,958.2,986.7,"1,009.8","1,177.6","1,345.4","1,169.3","1,183.5","1,190.7","1,537.4","1,636.3","1,993.4","total"
Louisiana,LA,660.4,655.7,638.4,833.8,842.3,822.3,866.1,"1,181.4","1,475.3","1,364.2","1,716.8","2,008.2","2,122.8","2,345.2","total"
Maine,ME,151.9,152.4,129.7,128.1,130.2,138.7,157.4,180.4,202.1,188.7,247.6,291.4,303.0,317.2,"total"
Maryland,MD,373.9,394.2,344.4,316.9,346.3,339.5,364.9,452.5,619.0,604.8,638.4,727.7,833.2,807.9,"total"
Massachussetts,MA,125.0,119.5,123.1,126.0,134.1,134.2,158.8,187.5,292.6,225.7,236.4,269.1,260.7,263.5,"total"
